BOUTIQUE|PERIODE|NB_CLOTURES_ETIQUETEES|CLOTURES|STATUT|NOTE
MASSENA|2024-02|1|2024-02:0074:2024-03-02 14:50:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-03|1|2024-03:0075:2024-04-02 10:00:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-04|1|2024-04:0076:2024-04-30 17:45:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-05|1|2024-05:0077:2024-06-01 16:16:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-06|1|2024-06:0078:2024-07-01 11:33:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-07|1|2024-07:0079:2024-08-03 16:47:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-08|1|2024-08:0080:2024-09-02 00:39:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-09|1|2024-09:0081:2024-10-01 15:45:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-10|1|2024-10:0082:2024-11-05 18:08:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-11|1|2024-11:0083:2024-11-30 18:36:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2024-12|1|2024-12:0084:2025-01-02 18:07:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-01|1|2025-01:0085:2025-02-03 12:18:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-02|1|2025-02:0086:2025-03-01 15:41:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-03|1|2025-03:0087:2025-03-29 23:24:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-04|1|"2025-04|2025-05|2025-06:0088:2025-07-01 09:58:00"|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-05|1|"2025-04|2025-05|2025-06:0088:2025-07-01 09:58:00"|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-06|1|"2025-04|2025-05|2025-06:0088:2025-07-01 09:58:00"|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-07|1|2025-07:0089:2025-07-31 18:38:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MASSENA|2025-08|1|2025-08:0090:2025-09-02 17:20:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-01|1|2023-01:0019:2023-02-01 10:06:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-02|1|2023-02:0020:2023-03-01 10:42:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-03|1|2023-03:0021:2023-04-01 13:48:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-04|1|2023-04:0022:2023-05-02 09:28:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-05|1|2023-05:0023:2023-06-01 08:54:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-06|1|2023-06:0024:2023-07-01 13:35:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-07|1|2023-07:0025:2023-08-01 09:14:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-08|1|2023-08:0026:2023-09-01 09:09:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-09|1|2023-09:0027:2023-10-02 09:14:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-10|1|2023-10:0028:2023-11-02 11:03:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-11|0||PAS_DE_CLOTURE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2023-12|0||PAS_DE_CLOTURE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-01|1|2024-01:0029:2024-02-01 10:29:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-02|1|2024-02:0030:2024-03-01 09:35:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-03|1|2024-03:0031:2024-04-02 14:09:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-04|1|2024-04:0032:2024-05-02 10:02:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-05|1|2024-05:0033:2024-06-01 13:45:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-06|1|2024-06:0034:2024-07-01 11:10:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-07|1|2024-07:0035:2024-08-01 09:51:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-08|1|2024-08:0036:2024-08-30 14:07:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-09|1|2024-09:0037:2024-09-30 16:55:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-10|1|2024-10:0038:2024-11-02 14:14:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-11|1|2024-11:0039:2024-12-02 10:55:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2024-12|1|2024-12:0040:2024-12-31 17:08:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-01|1|2025-01:0041:2025-02-01 15:53:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-02|1|2025-02:0042:2025-03-01 13:36:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-03|1|2025-03:0043:2025-04-01 09:43:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-04|0||PAS_DE_CLOTURE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-05|0||PAS_DE_CLOTURE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-06|1|"2025-06|2025-07:0044:2025-08-01 09:38:00"|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-07|1|"2025-06|2025-07:0044:2025-08-01 09:38:00"|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
MATURIN|2025-08|1|2025-08:0045:2025-09-01 09:02:00|CLOTURE_PRESENTE|Période issue du nom du fichier ; aucune clôture n'est inventée.
